"x","y","pos","order"
2666.9482421875,5491.4677734375,"2666.9482421875_5491.4677734375",3996
2792.94580078125,5561.67822265625,"2792.94580078125_5561.67822265625",1709
2931.77294921875,5518.01318359375,"2931.77294921875_5518.01318359375",79
2989.22680664062,5464.01220703125,"2989.22680664062_5464.01220703125",8769
3066.87963867188,5255.34619140625,"3066.87963867188_5255.34619140625",27962
3143.94018554688,5181.86474609375,"3143.94018554688_5181.86474609375",8950
3169.21875,5001.11328125,"3169.21875_5001.11328125",26363
3201.85571289062,4897.7412109375,"3201.85571289062_4897.7412109375",7184
3209.6259765625,4822.36865234375,"3209.6259765625_4822.36865234375",32354
3245.14501953125,4696.76318359375,"3245.14501953125_4696.76318359375",2955
3278.26806640625,4546.11767578125,"3278.26806640625_4546.11767578125",23243
3268.35083007812,4519.97509765625,"3268.35083007812_4519.97509765625",6915
3283.18798828125,4397.23779296875,"3283.18798828125_4397.23779296875",11553
3273.78662109375,4234.462890625,"3273.78662109375_4234.462890625",12210
3233.36767578125,4140.04833984375,"3233.36767578125_4140.04833984375",16730
3239.35180664062,3963.23461914062,"3239.35180664062_3963.23461914062",670
3256.3955078125,4055.25708007812,"3256.3955078125_4055.25708007812",9110
3260.46484375,3896.41918945312,"3260.46484375_3896.41918945312",627
3225.20092773438,3800.53564453125,"3225.20092773438_3800.53564453125",33538
3237.11376953125,3613.1396484375,"3237.11376953125_3613.1396484375",4671
3244.20849609375,3429.14965820312,"3244.20849609375_3429.14965820312",15410
3245.97900390625,3279.26684570312,"3245.97900390625_3279.26684570312",30534
3220.07055664062,3157.67993164062,"3220.07055664062_3157.67993164062",32112
3253.5205078125,2967.81616210938,"3253.5205078125_2967.81616210938",1998
3278.96484375,2873.07446289062,"3278.96484375_2873.07446289062",34508
3338.40087890625,2761.03540039062,"3338.40087890625_2761.03540039062",29602
3413.69213867188,2681.31518554688,"3413.69213867188_2681.31518554688",5569
3448.45166015625,2680.79809570312,"3448.45166015625_2680.79809570312",35067
3514.30639648438,2624.9296875,"3514.30639648438_2624.9296875",2571
3578.25390625,2616.39794921875,"3578.25390625_2616.39794921875",940
3675.359375,2620.89916992188,"3675.359375_2620.89916992188",10019
3772.59228515625,2634.44750976562,"3772.59228515625_2634.44750976562",7093
3883.54272460938,2626.9501953125,"3883.54272460938_2626.9501953125",14026
3976.40356445312,2658.98779296875,"3976.40356445312_2658.98779296875",4097
4115.4501953125,2739.30200195312,"4115.4501953125_2739.30200195312",31481
4212.8642578125,2797.04174804688,"4212.8642578125_2797.04174804688",8636
4343.30810546875,2921.07739257812,"4343.30810546875_2921.07739257812",27370
4438.021484375,3037.68188476562,"4438.021484375_3037.68188476562",10066
4504.89697265625,3127.69702148438,"4504.89697265625_3127.69702148438",29144
4584.4013671875,3228.53540039062,"4584.4013671875_3228.53540039062",3936
4661.341796875,3359.66748046875,"4661.341796875_3359.66748046875",16751
